policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end
FOC,0.8243997052242062,43.66813788489812,1.148583065155286,0.026302542787209247,1,42.51955481974284,406.03183965773377,2.3511241239429936,112.20774018730815,193.78604506450418,373.15704349855724,394.83969374981626,370.5123043560324,28.9591864206973,35.05310845966047,0.03505310845966047,0.8243997052242062,0.09393661213256986,0.09393661213256986,9.393661213256985,0.434590953046221,phase,phase_line_disagreement,0.434590953046221,0.752733611185835,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,43.66813788489812,0.18366337547270462,0.004205889794449455,1,43.48447450942542,415.2461439557145,2.3372983490344814,154.9090128527631,267.9805138963703,350.0149482316439,362.9397365967848,344.04245383194893,59.1924281404162,35.84858796739983,0.03584858796739983,0.8243997052242064,0.10242016276309096,0.10242016276309096,10.242016276309096,0.29573473829020547,phase,phase_line_disagreement,0.29573473829020547,0.512227592281721,1.014999999999999,1.351999999999962
FOC,0.8243997052242062,72.78022980816354,0.03619273822317837,0.000497288045374085,1,72.81642254638672,695.345615191535,0.8692766393827654,150.0302522045306,259.61005326057534,94.23201703903128,96.02862302687369,90.54635951778546,71.24863352368224,60.02983728272245,0.060029837282722445,0.8243997052242061,0.6370428986769735,0.6370428986769735,63.70428986769735,0.22566643108120193,phase,phase_line_disagreement,0.22566643108120193,0.39086572419538224,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,72.78022980816354,0.15909347471406932,0.002185943560956224,1,72.93932328287761,696.5192307748645,1.2172299581012738,212.43752586009612,367.66601104651016,120.5178652789638,124.36196044283876,115.90191945391194,80.28250785819763,60.13115661365739,0.06013115661365739,0.8243997052242064,0.4989397752314253,0.4989397752314253,49.89397752314253,0.14308170658274685,phase,phase_line_disagreement,0.14308170658274685,0.24782478543497985,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,101.89232173142895,0.11747618116871195,0.0011529443943613282,1,102.00979791259766,974.1218148957136,0.7660559071636798,185.45302786350837,320.99117066178576,127.14655475519089,127.14655475519089,121.64294539901327,108.76216074240229,84.09684732912636,0.08409684732912637,0.8243997052242062,0.6614166423230828,0.6614166423230828,66.14166423230829,0.28541137541093625,phase,phase_line_disagreement,0.28541137541093625,0.4943470032698561,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,101.89232173142895,0.06450037143562781,0.0006330248475998021,1,101.95682210286458,973.6159331767145,0.8802588662733711,218.76501141710253,378.86341178032166,129.5281253761253,129.5281253761253,123.1014698335257,107.90570405434278,84.0531740871984,0.0840531740871984,0.8243997052242062,0.6489183244420762,0.6489183244420762,64.89183244420762,0.21308540880341695,phase,phase_line_disagreement,0.21308540880341695,0.36907475439910276,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,131.0044136546944,0.12002925708947032,0.0009162230015077756,1,131.12444291178386,1252.1461949748864,0.7089625373770115,216.49799316613158,374.88186320440644,165.4267207000985,165.4267207000985,159.9924869816432,148.00608594642668,108.09895208416287,0.10809895208416287,0.8243997052242062,0.6534552073974498,0.6534552073974498,65.34552073974498,0.3474570855803654,phase,phase_line_disagreement,0.3474570855803654,0.6018133256750007,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,131.0044136546944,0.011219890227494034,8.564513144624103e-05,1,131.01563354492188,1251.1071420594394,0.7109137066142015,218.50460508449794,378.4043810297985,166.69534193193044,166.69534193193044,161.24782139355875,149.33158020584168,108.00924967419624,0.10800924967419624,0.8243997052242064,0.6479440182455818,0.6479440182455818,64.79440182455818,0.3460151535646386,phase,phase_line_disagreement,0.3460151535646386,0.5993158261627014,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,43.66813788489812,0.9698036563824957,0.022208495790196854,1,42.69833422851563,407.7390572554879,2.4919861547250366,118.15711357187361,204.19415645674965,484.6309440557564,500.8671180744501,472.72184078300074,87.20782160404194,70.40098830310583,0.07040098830310583,1.6487994104484125,0.1452672165626433,0.1452672165626433,14.52672165626433,0.5117263800843334,phase,phase_line_disagreement,0.5117263800843334,0.886336089879368,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,43.66813788489812,0.1814128406476314,0.004154352565383145,1,43.48672504425049,415.2676349802352,2.3947042861988694,158.0093249170603,273.37457755558,385.6535813408626,392.72935827157704,370.98383542742135,79.84075159918916,71.7008866152924,0.0717008866152924,1.648799410448412,0.18592044799894927,0.18592044799894927,18.59204479989493,0.31317903385755913,phase,phase_line_disagreement,0.31317903385755913,0.542441998506626,1.0189999999999986,1.3579999999999612
FOC,1.6487994104484125,72.78022980816354,0.14678121885468443,0.0020167732259375255,1,72.92701102701822,696.4016573920267,0.9181404069221243,156.79352517216128,271.35035261020727,162.92267568497488,162.92267568497488,156.53498367830633,135.2401017001005,120.24201278711251,0.12024201278711251,1.6487994104484123,0.7380311689676081,0.7380311689676081,73.80311689676081,0.36245402947633465,phase,phase_line_disagreement,0.36245402947633465,0.6277887944610792,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,72.78022980816354,0.22456102435599234,0.0030854673713987643,1,73.00479083251953,697.1443998231221,1.2182915751064733,215.1227974816197,372.434371383951,171.9943937142253,171.9943937142253,162.4511601668037,132.34594159905674,120.37025608456784,0.12037025608456785,1.648799410448412,0.6998498816453705,0.6998498816453705,69.98498816453706,0.20661596918059,phase,phase_line_disagreement,0.20661596918059,0.3578693562758672,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,101.89232173142895,0.1794810436361587,0.0017614776127021679,1,102.07180277506511,974.7139177171591,0.8465576827180374,194.60414139584995,336.84153651331917,218.970626187453,218.970626187453,212.8059959247104,193.07971938605522,168.295928238934,0.16829592823893402,1.6487994104484127,0.7685776451808738,0.7685776451808738,76.85776451808738,0.43058011742090985,phase,phase_line_disagreement,0.43058011742090985,0.7457866401019889,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,101.89232173142895,0.026563237646570315,0.00026069911054325123,1,101.91888496907552,973.2536602345585,0.9044992154577312,217.4103452952518,376.4858399499422,218.82053531799596,218.82053531799596,212.16394976610744,192.64504668193516,168.04379745057128,0.16804379745057127,1.6487994104484123,0.7679525927782118,0.7679525927782118,76.79525927782119,0.35963498825647366,phase,phase_line_disagreement,0.35963498825647366,0.6229060718396489,1.1259999999999868,1.4999999999999456
