policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.8243997052242062,145.56045961632708,0.050912087774491965,0.0003497659179470007,1,145.61137170410157,1390.4861746259462,0.661806785482192,218.10258514877407,377.7023509892628,187.12827410928952,187.12827410928952,181.8511432729015,170.16765476361115,120.04197191015368,0.12004197191015367,0.8243997052242064,0.6414956397238235,0.6414956397238235,64.14956397238235,0.41995499590277474,phase,phase_line_disagreement,0.41995499590277474,0.7273833897959855,1.1259999999999868,1.4999999999999456,0.2
MIC_AI,0.8243997052242062,145.56045961632708,0.0373837267718784,0.0002568261110909901,1,145.59784334309896,1390.3569882944164,0.6620388408026728,218.11533690423826,377.7246416102803,187.57382529262236,187.57382529262236,182.29406839361596,170.5889607699614,120.03081913333095,0.12003081913333095,0.8243997052242064,0.6399124128650587,0.6399124128650587,63.991241286505876,0.42080569516442584,phase,phase_line_disagreement,0.42080569516442584,0.7288568441391267,1.1259999999999868,1.4999999999999456,0.2
FOC,1.6487994104484125,145.56045961632708,0.11452386600154796,0.0007867786781067718,1,145.44593575032553,1388.9063776374314,0.7756490261539418,216.4999188463395,374.9010662515305,322.280595632214,322.280595632214,316.1650535803922,292.8236955539284,239.81117311725438,0.2398111731172544,1.6487994104484123,0.7441067702100391,0.7441067702100391,74.4106770210039,0.6275807596686276,phase,phase_line_disagreement,0.6275807596686276,1.087001761598736,1.1259999999999868,1.4999999999999456,0.4
MIC_AI,1.6487994104484125,145.56045961632708,0.2185837618348785,0.0015016699068622658,1,145.3418758544922,1387.9126788294614,0.778777824422728,216.476642328739,374.8605140357666,325.0521247746056,325.0521247746056,318.91180523447855,295.29960903933045,239.63959922235307,0.23963959922235306,1.6487994104484123,0.7372343724518693,0.7372343724518693,73.72343724518693,0.6305575375010152,phase,phase_line_disagreement,0.6305575375010152,1.092157692047276,1.1259999999999868,1.4999999999999456,0.4
FOC,2.4731991156726183,145.56045961632708,0.47114223351456985,0.0032367459869007123,1,145.0893173828125,1385.500923078208,0.950416053330895,214.88197697035199,372.08838960368007,469.63557023780777,469.63557023780777,461.9949479373029,417.8381612950289,358.8347714447157,0.3588347714447157,2.4731991156726183,0.7640706841328347,0.7640706841328347,76.40706841328347,0.7540535995683925,phase,,0.7540535995683925,1.3060591460826532,1.1259999999999868,1.4999999999999456,0.6
MIC_AI,2.4731991156726183,145.56045961632708,1.2898007214703,0.008860927788150697,1,144.27065889485678,1377.6833103744705,0.9786490327764291,214.6851402880924,371.74794932084734,489.2021761986198,489.2021761986198,481.29523369599815,433.6760662545787,356.81006599626573,0.35681006599626575,2.4731991156726183,0.7293713792708031,0.7293713792708031,72.93713792708031,0.7635919647750933,phase,,0.7635919647750933,1.3225800792418063,1.1259999999999868,1.4999999999999456,0.6
FOC,3.297598820896825,145.56045961632708,1.5935920219260424,0.010947973276028967,1,143.96686759440104,1374.7823171463197,1.2108529289126713,213.97975061430512,370.52989216011576,651.0004648353912,651.0004648353912,640.5393818879483,558.8173789609289,474.74497282750616,0.47474497282750616,3.297598820896825,0.7292544298682611,0.7292544298682611,72.92544298682611,0.824063176488437,phase,,0.824063176488437,1.4273192903245717,1.1259999999999868,1.4999999999999456,0.8
MIC_AI,3.297598820896825,145.56045961632708,6.826102560663031,0.04689530782367334,1,138.73435705566405,1324.815522125094,1.2598891903492146,213.70569934671843,370.05689804035705,681.1681501641802,681.1681501641802,670.1571879882129,581.2085768114681,457.4902522446369,0.4574902522446369,3.297598820896825,0.671626017943395,0.671626017943395,67.16260179433951,0.8296730266449279,phase,,0.8296730266449279,1.4370358358184623,1.1259999999999868,1.4999999999999456,0.8
FOC,4.121998526121031,145.56045961632708,5.635406922642176,0.03871523171537217,1,139.9250526936849,1336.1858279156327,1.6125886152999813,213.48750372069625,369.6799137729542,899.9652202389793,899.9652202389793,883.8633138922618,727.5740990119496,576.7708609707767,0.5767708609707767,4.12199852612103,0.6408812785205402,0.6408812785205402,64.08812785205401,0.8557911775551732,phase,,0.8557911775551732,1.4822738001947584,1.1259999999999868,1.4999999999999456,1.0
MIC_AI,4.121998526121031,145.56045961632708,18.24484189985573,0.12534201903419423,0,127.31561771647135,1215.77459354247,1.357783021601099,213.32140605176315,369.39170993470424,734.7442696073898,734.7442696073898,722.5840573643604,618.9399351094643,524.7947885794836,0.5247947885794836,4.121998526121032,0.7142550276164894,0.7142550276164894,71.42550276164894,0.8315766942952291,phase,,0.8315766942952291,1.4403330849095093,1.1259999999999868,1.4999999999999456,1.0
