policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end
FOC,0.8243997052242062,43.66813788489812,1.148583065155286,0.026302542787209247,1,42.51955481974284,406.03183965773377,2.3511241239429936,112.20774018730815,193.78604506450418,373.15704349855724,394.83969374981626,370.5123043560324,28.9591864206973,35.05310845966047,0.03505310845966047,0.8243997052242062,0.09393661213256986,0.09393661213256986,9.393661213256985,0.434590953046221,phase,phase_line_disagreement,0.434590953046221,0.752733611185835,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,43.66813788489812,0.18366322875358065,0.004205886434582718,1,43.48447465614454,415.246145356779,2.3372990332293804,154.90901188810707,267.98051198934013,350.0150931326751,362.93988341553774,344.04258402085463,59.19235921893675,35.84858808835503,0.03584858808835503,0.8243997052242062,0.10242012070824166,0.10242012070824166,10.242012070824167,0.2957347723540971,phase,phase_line_disagreement,0.2957347723540971,0.512227651282112,1.014999999999999,1.351999999999962
FOC,0.8243997052242062,72.78022980816354,0.03619273822317837,0.000497288045374085,1,72.81642254638672,695.345615191535,0.8692766393827654,150.0302522045306,259.61005326057534,94.23201703903128,96.02862302687369,90.54635951778546,71.24863352368224,60.02983728272245,0.060029837282722445,0.8243997052242061,0.6370428986769735,0.6370428986769735,63.70428986769735,0.22566643108120193,phase,phase_line_disagreement,0.22566643108120193,0.39086572419538224,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,72.78022980816354,0.15909357643931799,0.002185944958660641,1,72.93932338460286,696.5192317462692,1.217230041677008,212.43753534929192,367.66602756635285,120.5178286731022,124.36191608781944,115.9018703552291,80.28246801672145,60.13115669751966,0.06013115669751966,0.8243997052242064,0.49893992747431604,0.49893992747431604,49.893992747431604,0.14308164188407874,phase,phase_line_disagreement,0.14308164188407874,0.24782467337359948,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,101.89232173142895,0.11747618116871195,0.0011529443943613282,1,102.00979791259766,974.1218148957136,0.7660559071636798,185.45302786350837,320.99117066178576,127.14655475519089,127.14655475519089,121.64294539901327,108.76216074240229,84.09684732912636,0.08409684732912637,0.8243997052242062,0.6614166423230828,0.6614166423230828,66.14166423230829,0.28541137541093625,phase,phase_line_disagreement,0.28541137541093625,0.4943470032698561,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,101.89232173142895,0.06450033074553119,0.0006330244482557108,1,101.95682206217448,973.6159327881527,0.880258887419977,218.7650180006731,378.8634232582674,129.52812945259177,129.52812945259177,123.101473727545,107.90570704998262,84.05317405365348,0.08405317405365348,0.8243997052242061,0.6489183037605554,0.6489183037605554,64.89183037605554,0.21308540401222856,phase,phase_line_disagreement,0.21308540401222856,0.369074746100521,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,131.0044136546944,0.12002925708947032,0.0009162230015077756,1,131.12444291178386,1252.1461949748864,0.7089625373770115,216.49799316613158,374.88186320440644,165.4267207000985,165.4267207000985,159.9924869816432,148.00608594642668,108.09895208416287,0.10809895208416287,0.8243997052242062,0.6534552073974498,0.6534552073974498,65.34552073974498,0.3474570855803654,phase,phase_line_disagreement,0.3474570855803654,0.6018133256750007,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,131.0044136546944,0.011220052987908957,8.564637385029737e-05,1,131.0156337076823,1251.1071436136867,0.7109136948153588,218.50459921012737,378.40437079230117,166.695342644024,166.695342644024,161.24782218593313,149.331581202984,108.00924980837588,0.10800924980837588,0.8243997052242064,0.6479440162826168,0.6479440162826168,64.79440162826168,0.3460151703101014,phase,phase_line_disagreement,0.3460151703101014,0.5993158551666938,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,43.66813788489812,0.9698036563824957,0.022208495790196854,1,42.69833422851563,407.7390572554879,2.4919861547250366,118.15711357187361,204.19415645674965,484.6309440557564,500.8671180744501,472.72184078300074,87.20782160404194,70.40098830310583,0.07040098830310583,1.6487994104484125,0.1452672165626433,0.1452672165626433,14.52672165626433,0.5117263800843334,phase,phase_line_disagreement,0.5117263800843334,0.886336089879368,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,43.66813788489812,0.18141302016280036,0.004154356676279044,1,43.48672486473532,415.2676332659916,2.3947040945004434,158.00932855239907,273.37458393009223,385.65358560467,392.72936576117365,370.9838440413224,79.84081133520246,71.70088631930793,0.07170088631930793,1.6487994104484127,0.18592044517591458,0.18592044517591458,18.592044517591457,0.31317905953222624,phase,phase_line_disagreement,0.31317905953222624,0.5424420429764539,1.0189999999999986,1.3579999999999612
FOC,1.6487994104484125,72.78022980816354,0.14678121885468443,0.0020167732259375255,1,72.92701102701822,696.4016573920267,0.9181404069221243,156.79352517216128,271.35035261020727,162.92267568497488,162.92267568497488,156.53498367830633,135.2401017001005,120.24201278711251,0.12024201278711251,1.6487994104484123,0.7380311689676081,0.7380311689676081,73.80311689676081,0.36245402947633465,phase,phase_line_disagreement,0.36245402947633465,0.6277887944610792,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,72.78022980816354,0.22456033262422181,0.0030854578670076356,1,73.00479014078776,697.1443932175704,1.218291440113427,215.122798437152,372.4343730529138,171.99432990771516,171.99432990771516,162.45109799234655,132.3459036009786,120.37025494404095,0.12037025494404095,1.6487994104484127,0.699850134644709,0.699850134644709,69.9850134644709,0.20661591207943666,phase,phase_line_disagreement,0.20661591207943666,0.35786925737376846,1.1259999999999868,1.4999999999999456
