policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end
FOC,0.3459890067215116,72.25663103256525,1.356516754407707,0.018773595378344447,1,70.90011427815755,677.0462191889424,0.7662314887846788,154.9313925299154,267.45974930506526,112.71829795832353,140.95696878900728,135.3337236545039,19.881155290653336,24.530660115541394,0.024530660115541395,0.3459890067215116,0.21762802100339876,0.21762802100339876,21.762802100339876,0.294996581252272,phase,phase_line_disagreement,0.294996581252272,0.5109490667880559,1.1254999999999316,1.4999999999998903
MIC_AI,0.3459890067215116,72.25663103256525,1.1360029299448087,0.01572178101457325,1,71.12062810262044,679.1519710999446,0.7557328615988214,134.3547847948763,231.96172561345458,127.6414698658596,144.82567873092256,138.72717208063747,31.57551547323177,24.606955474635672,0.02460695547463567,0.3459890067215116,0.1927818247509646,0.1927818247509646,19.278182475096457,0.3944127682540049,phase,phase_line_disagreement,0.3944127682540049,0.6831429537698257,1.1254999999999316,1.4999999999998903
FOC,0.3459890067215116,101.15928344559134,0.2771275923198573,0.0027395171543391837,1,100.88215585327148,963.3536264289083,0.32639731325189625,174.9203765073278,302.5351943796248,64.12774574155969,64.12774574155969,61.63329244498051,53.82003281300066,34.90411689959813,0.03490411689959813,0.3459890067215116,0.5442904080905122,0.5442904080905122,54.42904080905122,0.35983809170253905,phase,phase_line_disagreement,0.35983809170253905,0.6232578573274266,1.1254999999999316,1.4999999999998903
MIC_AI,0.3459890067215116,101.15928344559134,0.909493742222196,0.008990709614025375,1,100.24978970336915,957.3149745128516,0.330340672336425,153.49696674642902,265.46346471385397,79.88980745567116,79.88980745567116,77.35630163051611,66.40149192649174,34.68532516350911,0.03468532516350911,0.3459890067215116,0.4341645857984465,0.4341645857984465,43.41645857984465,0.5085253381450018,phase,phase_line_disagreement,0.5085253381450018,0.8807917226032869,1.1254999999999316,1.4999999999998903
FOC,0.6919780134430232,72.25663103256525,0.907339376071107,0.012557177979446334,1,71.34929165649415,681.3355471941821,0.6895054276318069,158.7855778737493,274.2437548138719,117.06724227965634,134.22786856168173,129.31620060016868,45.58625514470772,49.37214110102769,0.04937214110102769,0.6919780134430231,0.42174172842548846,0.42174172842548846,42.17417284254885,0.33688886552259756,phase,phase_line_disagreement,0.33688886552259756,0.5835086315893779,1.1254999999999316,1.4999999999998903
MIC_AI,0.6919780134430232,72.25663103256525,0.803824524183085,0.01112457794801989,1,71.45280650838217,682.3240412158665,0.6115711203518127,137.71774705145157,237.9449591825415,111.00879420820057,119.67629284360481,115.17000038504086,51.51319366112447,49.443771102599015,0.04944377110259902,0.6919780134430232,0.44540409122781416,0.44540409122781416,44.54040912278142,0.4183745260962648,phase,phase_line_disagreement,0.4183745260962648,0.7246459357912818,1.1254999999999316,1.4999999999998903
FOC,1.0379670201645348,72.25663103256525,0.6185728151987178,0.00856077575662134,1,71.63805821736653,684.0930647279314,0.629583084665169,161.35357607596882,278.80490671972535,131.01747594826347,139.78592513244175,135.09037020725037,74.253980847088,74.35794181825341,0.0743579418182534,1.0379670201645348,0.5675421639752553,0.5675421639752553,56.754216397525525,0.4117367746817496,phase,phase_line_disagreement,0.4117367746817496,0.7131490130933293,1.1254999999999316,1.4999999999998903
MIC_AI,1.0379670201645348,72.25663103256525,0.6724539390593947,0.009306466817645112,1,71.58417709350586,683.578537895825,0.5624633537061575,140.7207446191061,243.21377790497357,124.4307401524724,128.1903627426354,123.90167902226645,77.59378403363993,74.30201498867663,0.07430201498867663,1.0379670201645348,0.5971355221196141,0.5971355221196141,59.71355221196141,0.50440837571018,phase,phase_line_disagreement,0.50440837571018,0.873660934493323,1.1254999999999316,1.4999999999998903
FOC,1.3839560268860465,72.25663103256525,0.8091897382130355,0.011198830150942725,1,71.44744129435222,682.2728071958495,0.5319136958865515,162.43255661379396,280.749038660925,152.81481289205433,153.53001894535973,149.3516151628579,114.64555847378787,98.88011698490575,0.09888011698490576,1.3839560268860467,0.6470584566612199,0.6470584566612199,64.70584566612199,0.573050147871292,phase,phase_line_disagreement,0.573050147871292,0.9925519713979359,1.1254999999999316,1.4999999999998903
MIC_AI,1.3839560268860465,72.25663103256525,1.9432427675913004,0.02689362539910701,1,70.31338826497395,671.4433984746162,0.5100425077608547,141.53781133416337,244.58945063647317,158.00538204571916,158.00538204571916,153.96410702475893,119.42752898512381,97.31063746008932,0.09731063746008932,1.3839560268860467,0.6158691317991454,0.6158691317991454,61.58691317991454,0.7109177942268744,phase,,0.7109177942268744,1.2313457396057428,1.1254999999999316,1.4999999999998903
