policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.8243997052242062,145.56045961632708,0.050912087774491965,0.0003497659179470007,1,145.61137170410157,1390.4861746259462,0.661806785482192,218.10258514877407,377.7023509892628,187.12827410928952,187.12827410928952,181.8511432729015,170.16765476361115,120.04197191015368,0.12004197191015367,0.8243997052242064,0.6414956397238235,0.6414956397238235,64.14956397238235,0.41995499590277474,phase,phase_line_disagreement,0.41995499590277474,0.7273833897959855,1.1259999999999868,1.4999999999999456,0.2
MIC_AI,0.8243997052242062,145.56045961632708,0.037384988165115374,0.00025683477685942954,1,145.5978446044922,1390.3570003398345,0.6620387753516642,218.1153071452052,377.7245897644738,187.57380568757839,187.57380568757839,182.2940491992498,170.58894380434944,120.03082017322315,0.12003082017322315,0.8243997052242062,0.6399124852920329,0.6399124852920329,63.99124852920329,0.42080574987191394,phase,phase_line_disagreement,0.42080574987191394,0.7288569388952756,1.1259999999999868,1.4999999999999456,0.2
FOC,1.6487994104484125,145.56045961632708,0.11452386600154796,0.0007867786781067718,1,145.44593575032553,1388.9063776374314,0.7756490261539418,216.4999188463395,374.9010662515305,322.280595632214,322.280595632214,316.1650535803922,292.8236955539284,239.81117311725438,0.2398111731172544,1.6487994104484123,0.7441067702100391,0.7441067702100391,74.4106770210039,0.6275807596686276,phase,phase_line_disagreement,0.6275807596686276,1.087001761598736,1.1259999999999868,1.4999999999999456,0.4
MIC_AI,1.6487994104484125,145.56045961632708,0.21858380252498932,0.0015016701864032274,1,145.3418758138021,1387.9126784408993,0.7787778393980633,216.47664038481756,374.8605106624779,325.0521345528384,325.0521345528384,318.911814893831,295.2996168989196,239.63959915526328,0.23963959915526328,1.6487994104484125,0.737234350067955,0.737234350067955,73.7234350067955,0.6305575501367692,phase,phase_line_disagreement,0.6305575501367692,1.0921577139330438,1.1259999999999868,1.4999999999999456,0.4
FOC,2.4731991156726183,145.56045961632708,0.47114223351456985,0.0032367459869007123,1,145.0893173828125,1385.500923078208,0.950416053330895,214.88197697035199,372.08838960368007,469.63557023780777,469.63557023780777,461.9949479373029,417.8381612950289,358.8347714447157,0.3588347714447157,2.4731991156726183,0.7640706841328347,0.7640706841328347,76.40706841328347,0.7540535995683925,phase,,0.7540535995683925,1.3060591460826532,1.1259999999999868,1.4999999999999456,0.6
MIC_AI,2.4731991156726183,145.56045961632708,1.289802145623952,0.008860937572082787,1,144.27065747070313,1377.6832967748048,0.9786489377576707,214.6851541579737,371.7479733066358,489.20212416321766,489.20212416321766,481.29518262278197,433.6760303161447,356.8100624740502,0.35681006247405017,2.4731991156726183,0.7293714496525855,0.7293714496525855,72.93714496525855,0.763591908551731,phase,,0.763591908551731,1.322579981860086,1.1259999999999868,1.4999999999999456,0.6
FOC,3.297598820896825,145.56045961632708,1.5935920219260424,0.010947973276028967,1,143.96686759440104,1374.7823171463197,1.2108529289126713,213.97975061430512,370.52989216011576,651.0004648353912,651.0004648353912,640.5393818879483,558.8173789609289,474.74497282750616,0.47474497282750616,3.297598820896825,0.7292544298682611,0.7292544298682611,72.92544298682611,0.824063176488437,phase,,0.824063176488437,1.4273192903245717,1.1259999999999868,1.4999999999999456,0.8
MIC_AI,3.297598820896825,145.56045961632708,6.826095399204689,0.04689525862447213,1,138.7343642171224,1324.8155905119838,1.2598887966831167,213.70574561664193,370.0569779696408,681.1679931771979,681.1679931771979,670.1570359412374,581.2084970728002,457.49027586025346,0.4574902758602535,3.297598820896825,0.6716262074005622,0.6716262074005622,67.16262074005623,0.8296729180125516,phase,,0.8296729180125516,1.437035647661667,1.1259999999999868,1.4999999999999456,0.8
FOC,4.121998526121031,145.56045961632708,5.635406922642176,0.03871523171537217,1,139.9250526936849,1336.1858279156327,1.6125886152999813,213.48750372069625,369.6799137729542,899.9652202389793,899.9652202389793,883.8633138922618,727.5740990119496,576.7708609707767,0.5767708609707767,4.12199852612103,0.6408812785205402,0.6408812785205402,64.08812785205401,0.8557911775551732,phase,,0.8557911775551732,1.4822738001947584,1.1259999999999868,1.4999999999999456,1.0
MIC_AI,4.121998526121031,145.56045961632708,18.24499851606666,0.1253430949871786,0,127.31546110026042,1215.7730979678217,1.357780586832525,213.3208628728194,369.39077213965265,734.7411655610118,734.7411655610118,722.5809877005765,618.937230827035,524.7941430076929,0.5247941430076929,4.121998526121031,0.7142571664771038,0.7142571664771038,71.42571664771037,0.8315767702250734,phase,,0.8315767702250734,1.4403332164238574,1.1259999999999868,1.4999999999999456,1.0
