policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.8243997052242062,145.56045961632708,0.050912087774491965,0.0003497659179470007,1,145.61137170410157,1390.4861746259462,0.661806785482192,218.10258514877407,377.7023509892628,187.12827410928952,187.12827410928952,181.8511432729015,170.16765476361115,120.04197191015368,0.12004197191015367,0.8243997052242064,0.6414956397238235,0.6414956397238235,64.14956397238235,0.41995499590277474,phase,phase_line_disagreement,0.41995499590277474,0.7273833897959855,1.1259999999999868,1.4999999999999456,0.2
MIC_AI,0.8243997052242062,145.56045961632708,0.10507114539166196,0.0007218385107371318,1,145.66553076171874,1391.0033555299244,0.6616129775543812,217.6329778299174,376.8790716169193,186.2914881144299,186.2914881144299,181.01525693127007,169.37089950118494,120.08662062128849,0.12008662062128848,0.8243997052242064,0.6446167875771385,0.6446167875771385,64.46167875771384,0.4190493839763298,phase,phase_line_disagreement,0.4190493839763298,0.7258148239274426,1.1259999999999868,1.4999999999999456,0.2
FOC,1.6487994104484125,145.56045961632708,0.11452386600154796,0.0007867786781067718,1,145.44593575032553,1388.9063776374314,0.7756490261539418,216.4999188463395,374.9010662515305,322.280595632214,322.280595632214,316.1650535803922,292.8236955539284,239.81117311725438,0.2398111731172544,1.6487994104484123,0.7441067702100391,0.7441067702100391,74.4106770210039,0.6275807596686276,phase,phase_line_disagreement,0.6275807596686276,1.087001761598736,1.1259999999999868,1.4999999999999456,0.4
MIC_AI,1.6487994104484125,145.56045961632708,0.06182586795469547,0.0004247435609756803,1,145.49863374837238,1389.4096064502437,0.7740007633001333,216.51857569734491,374.93352890068263,321.0843718038388,321.0843718038388,314.98137783919,291.7952079705974,239.8980615453659,0.2398980615453659,1.6487994104484125,0.7471496049391269,0.7471496049391269,74.71496049391268,0.6265086523708986,phase,phase_line_disagreement,0.6265086523708986,1.085144817287904,1.1259999999999868,1.4999999999999456,0.4
FOC,2.4731991156726183,145.56045961632708,0.47114223351456985,0.0032367459869007123,1,145.0893173828125,1385.500923078208,0.950416053330895,214.88197697035199,372.08838960368007,469.63557023780777,469.63557023780777,461.9949479373029,417.8381612950289,358.8347714447157,0.3588347714447157,2.4731991156726183,0.7640706841328347,0.7640706841328347,76.40706841328347,0.7540535995683925,phase,,0.7540535995683925,1.3060591460826532,1.1259999999999868,1.4999999999999456,0.6
MIC_AI,2.4731991156726183,145.56045961632708,0.4115745658713479,0.0028275162565176647,1,145.14888505045573,1386.0697524034406,0.9485986155342174,214.9093540819506,372.13573230817656,467.83372272637484,467.83372272637484,460.21016526707166,416.3887479149898,358.98209414765364,0.35898209414765364,2.4731991156726183,0.7673283833743939,0.7673283833743939,76.73283833743939,0.7524837872382999,phase,,0.7524837872382999,1.3033401513685847,1.1259999999999868,1.4999999999999456,0.6
FOC,3.297598820896825,145.56045961632708,1.5935920219260424,0.010947973276028967,1,143.96686759440104,1374.7823171463197,1.2108529289126713,213.97975061430512,370.52989216011576,651.0004648353912,651.0004648353912,640.5393818879483,558.8173789609289,474.74497282750616,0.47474497282750616,3.297598820896825,0.7292544298682611,0.7292544298682611,72.92544298682611,0.824063176488437,phase,,0.824063176488437,1.4273192903245717,1.1259999999999868,1.4999999999999456,0.8
MIC_AI,3.297598820896825,145.56045961632708,1.3572364717958294,0.009324211227233528,1,144.20322314453125,1377.0393463941452,1.2102780858019324,214.0532846056341,370.65659579551067,649.8344216042453,649.8344216042453,639.3782509577153,557.8725742278816,475.524378610928,0.475524378610928,3.297598820896825,0.7317623733088833,0.7317623733088833,73.17623733088833,0.8226773462195827,phase,,0.8226773462195827,1.424918961888249,1.1259999999999868,1.4999999999999456,0.8
FOC,4.121998526121031,145.56045961632708,5.635406922642176,0.03871523171537217,1,139.9250526936849,1336.1858279156327,1.6125886152999813,213.48750372069625,369.6799137729542,899.9652202389793,899.9652202389793,883.8633138922618,727.5740990119496,576.7708609707767,0.5767708609707767,4.12199852612103,0.6408812785205402,0.6408812785205402,64.08812785205401,0.8557911775551732,phase,,0.8557911775551732,1.4822738001947584,1.1259999999999868,1.4999999999999456,1.0
MIC_AI,4.121998526121031,145.56045961632708,5.147314678176031,0.03536203919487124,1,140.41314493815105,1340.846765519129,1.6669901579068842,213.43831043044034,369.59428509494074,924.7459521699219,924.7459521699219,907.746612045052,740.0780898604528,578.7827764830772,0.5787827764830772,4.12199852612103,0.6258830061650553,0.6258830061650553,62.588300616505535,0.8504288246651223,phase,,0.8504288246651223,1.4729859325410766,1.1259999999999868,1.4999999999999456,1.0
