policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end
FOC,0.8243997052242062,43.66813788489812,1.148583065155286,0.026302542787209247,1,42.51955481974284,406.03183965773377,2.3511241239429936,112.20774018730815,193.78604506450418,373.15704349855724,394.83969374981626,370.5123043560324,28.9591864206973,35.05310845966047,0.03505310845966047,0.8243997052242062,0.09393661213256986,0.09393661213256986,9.393661213256985,0.434590953046221,phase,phase_line_disagreement,0.434590953046221,0.752733611185835,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,43.66813788489812,0.40982293331934727,0.00938494181729415,1,43.258314951578775,413.08647926218833,2.2362827038929107,105.17535977841256,181.63656426133403,342.87833684543915,363.4615927631079,340.3185379741485,32.49633714163535,35.66214209457741,0.03566214209457741,0.8243997052242061,0.10400815176215988,0.10400815176215988,10.400815176215989,0.44820514821564517,phase,phase_line_disagreement,0.44820514821564517,0.7763140889234367,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,72.78022980816354,0.03619273822317837,0.000497288045374085,1,72.81642254638672,695.345615191535,0.8692766393827654,150.0302522045306,259.61005326057534,94.23201703903128,96.02862302687369,90.54635951778546,71.24863352368224,60.02983728272245,0.060029837282722445,0.8243997052242061,0.6370428986769735,0.6370428986769735,63.70428986769735,0.22566643108120193,phase,phase_line_disagreement,0.22566643108120193,0.39086572419538224,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,72.78022980816354,0.02710867372343273,0.00037247304377695207,1,72.75312113444011,694.741131234575,0.8536539271494163,138.1303164046139,238.97915915132066,93.89978784644111,100.41008078511138,95.66104607241768,67.77624751259499,59.9776516173734,0.059977651617373395,0.8243997052242062,0.6387410769815345,0.6387410769815345,63.87410769815345,0.2490132116477774,phase,phase_line_disagreement,0.2490132116477774,0.4313035343298526,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,101.89232173142895,0.11747618116871195,0.0011529443943613282,1,102.00979791259766,974.1218148957136,0.7660559071636798,185.45302786350837,320.99117066178576,127.14655475519089,127.14655475519089,121.64294539901327,108.76216074240229,84.09684732912636,0.08409684732912637,0.8243997052242062,0.6614166423230828,0.6614166423230828,66.14166423230829,0.28541137541093625,phase,phase_line_disagreement,0.28541137541093625,0.4943470032698561,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,101.89232173142895,0.08935057081714604,0.0008769117171817827,1,101.9816723022461,973.8532351008178,0.7187849211043496,173.16810724938978,299.7686182861047,125.99828392489381,125.99828392489381,120.83853947418882,109.01904146845088,84.07366058424329,0.08407366058424329,0.8243997052242062,0.6672603623265113,0.6672603623265113,66.72603623265113,0.32360658092870226,phase,phase_line_disagreement,0.32360658092870226,0.5605030398321621,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,131.0044136546944,0.12002925708947032,0.0009162230015077756,1,131.12444291178386,1252.1461949748864,0.7089625373770115,216.49799316613158,374.88186320440644,165.4267207000985,165.4267207000985,159.9924869816432,148.00608594642668,108.09895208416287,0.10809895208416287,0.8243997052242062,0.6534552073974498,0.6534552073974498,65.34552073974498,0.3474570855803654,phase,phase_line_disagreement,0.3474570855803654,0.6018133256750007,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,131.0044136546944,0.1205567635998932,0.0009202496330975578,1,131.12497041829428,1252.1512322910053,0.6899537811115115,206.32096628404835,357.18737950526986,165.53347242361608,165.53347242361608,160.2277371721692,148.22378782218294,108.09938696037455,0.10809938696037455,0.824399705224206,0.6530364244624666,0.6530364244624666,65.30364244624666,0.37519157920833063,phase,phase_line_disagreement,0.37519157920833063,0.6498508777608315,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,43.66813788489812,0.9698036563824957,0.022208495790196854,1,42.69833422851563,407.7390572554879,2.4919861547250366,118.15711357187361,204.19415645674965,484.6309440557564,500.8671180744501,472.72184078300074,87.20782160404194,70.40098830310583,0.07040098830310583,1.6487994104484125,0.1452672165626433,0.1452672165626433,14.52672165626433,0.5117263800843334,phase,phase_line_disagreement,0.5117263800843334,0.886336089879368,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,43.66813788489812,0.6245169437360119,0.01430143289787473,1,43.04362094116211,411.03630248158623,2.2613468699050974,107.73060924688407,186.09676712572653,398.72602328868317,410.3351261929716,385.705213225648,76.40374302444572,70.97029683135304,0.07097029683135304,1.6487994104484127,0.17799263826823153,0.17799263826823153,17.799263826823154,0.5083711400217253,phase,phase_line_disagreement,0.5083711400217253,0.8805246436193401,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,72.78022980816354,0.14678121885468443,0.0020167732259375255,1,72.92701102701822,696.4016573920267,0.9181404069221243,156.79352517216128,271.35035261020727,162.92267568497488,162.92267568497488,156.53498367830633,135.2401017001005,120.24201278711251,0.12024201278711251,1.6487994104484123,0.7380311689676081,0.7380311689676081,73.80311689676081,0.36245402947633465,phase,phase_line_disagreement,0.36245402947633465,0.6277887944610792,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,72.78022980816354,0.11591458067110239,0.0015926657689407377,1,72.89614438883464,696.1069027094137,0.861656057340583,144.51465327991696,250.10158036079324,161.45919433004536,161.45919433004536,155.56177561206766,135.2364932227548,120.19111989227291,0.12019111989227291,1.6487994104484125,0.7444055471166623,0.7444055471166623,74.44055471166622,0.4164240524889461,phase,phase_line_disagreement,0.4164240524889461,0.7212676164045837,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,101.89232173142895,0.1794810436361587,0.0017614776127021679,1,102.07180277506511,974.7139177171591,0.8465576827180374,194.60414139584995,336.84153651331917,218.970626187453,218.970626187453,212.8059959247104,193.07971938605522,168.295928238934,0.16829592823893402,1.6487994104484127,0.7685776451808738,0.7685776451808738,76.85776451808738,0.43058011742090985,phase,phase_line_disagreement,0.43058011742090985,0.7457866401019889,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,101.89232173142895,0.13697056593433388,0.0013442677878649706,1,102.02929229736328,974.3079725575925,0.8095192690474323,181.3666839648222,313.9523173095073,218.59963954446698,218.59963954446698,212.7317497775379,193.0453589664363,168.22583698836135,0.16822583698836135,1.6487994104484127,0.7695613649634645,0.7695613649634645,76.95613649634645,0.48297689395942583,phase,phase_line_disagreement,0.48297689395942583,0.8365405192195315,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,131.0044136546944,0.03615100188113729,0.00027595254902193793,1,131.04056465657553,1251.3452166388265,0.7869593283266134,216.98274103305903,375.74395941425985,283.69364370210246,283.69364370210246,277.6587333880411,257.16793303276216,216.0596057505888,0.21605960575058877,1.6487994104484123,0.7615948067467666,0.7615948067467666,76.15948067467666,0.5420166212526977,phase,phase_line_disagreement,0.5420166212526977,0.9388003265564895,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,131.0044136546944,0.1108170988863435,0.0008459035523676228,1,131.11523075358073,1252.058225344012,0.7881476691861735,213.9827951018544,370.48990236675996,284.32609873075774,284.32609873075774,278.2794562907104,257.26514367058934,216.1827151673115,0.2161827151673115,1.6487994104484127,0.7603337018035248,0.7603337018035248,76.03337018035248,0.5500136145864284,phase,phase_line_disagreement,0.5500136145864284,0.9526515253183006,1.1259999999999868,1.4999999999999456
FOC,2.4731991156726183,43.66813788489812,0.7933265649111405,0.018167171840535453,1,42.87481131998698,409.4242893424967,2.6320762541234655,124.26849826354423,214.74481850024065,550.4051958840214,561.7340290780078,529.076252487947,110.81889854372699,106.03794544122216,0.10603794544122216,2.4731991156726183,0.19265433217960745,0.19265433217960745,19.265433217960744,0.5240559614145041,phase,phase_line_disagreement,0.5240559614145041,0.9076915511792762,1.1259999999999868,1.4999999999999456
MIC_AI,2.4731991156726183,43.66813788489812,0.6500612756045001,0.014886397888500592,1,43.01807660929362,410.7923720804952,2.252343184764837,112.08584510939302,193.6947017700377,429.66251439033175,436.4311728157457,411.98990862045144,110.04352000052334,106.39226902804194,0.10639226902804194,2.4731991156726183,0.24761822468736167,0.24761822468736167,24.761822468736167,0.5316601778342281,phase,phase_line_disagreement,0.5316601778342281,0.9208624403699879,1.1259999999999868,1.4999999999999456
FOC,2.4731991156726183,72.78022980816354,0.18342676735728958,0.0025202828823263092,1,72.96365657552083,696.7515966032167,0.9872294932483917,162.86352191143314,281.8759913920397,229.34270543013173,229.34270543013173,222.2861665741743,193.7755819073144,180.45365091881877,0.18045365091881876,2.4731991156726187,0.7868296948027117,0.7868296948027117,78.68296948027117,0.4608390133263068,phase,phase_line_disagreement,0.4608390133263068,0.7981965851910743,1.1259999999999868,1.4999999999999456
MIC_AI,2.4731991156726183,72.78022980816354,0.16019786517630052,0.002201117880481488,1,72.94042767333984,696.5297769269346,0.969184687380554,150.43603557310894,260.35548611949304,229.9534429362792,229.9534429362792,223.0616712848251,191.5637658028376,180.39620121848668,0.18039620121848668,2.4731991156726183,0.7844901077148692,0.7844901077148692,78.44901077148691,0.5099707569422902,phase,phase_line_disagreement,0.5099707569422902,0.8832952613984055,1.1259999999999868,1.4999999999999456
FOC,2.4731991156726183,101.89232173142895,0.22332054152026615,0.002191730816664494,1,102.11564227294922,975.1325540846145,0.9426417993214496,202.13521895927863,349.8760922793698,313.81782124887724,313.81782124887724,306.7848126605893,277.0808402593297,252.55231616579943,0.25255231616579943,2.4731991156726183,0.8047736586811288,0.8047736586811288,80.47736586811288,0.536690513114928,phase,phase_line_disagreement,0.536690513114928,0.9295752366552661,1.1259999999999868,1.4999999999999456
MIC_AI,2.4731991156726183,101.89232173142895,0.17251788852547634,0.0016931392434083945,1,102.06483961995443,974.6474244838363,0.9187874559328083,188.58168735547812,326.44548231244,315.6310720504007,315.6310720504007,308.8081288152087,277.78042194431765,252.42667108933892,0.2524266710893389,2.4731991156726183,0.7997522850000993,0.7997522850000993,79.97522850000993,0.5940908924430055,phase,phase_line_disagreement,0.5940908924430055,1.0289956100252227,1.1259999999999868,1.4999999999999456
FOC,2.4731991156726183,131.0044136546944,0.1798207184964724,0.0013726309937194146,1,130.82459293619792,1249.2828386268573,0.9142250396508795,215.3433540764281,372.8879012867896,410.35603238830527,410.35603238830527,403.22359582931,367.410094196841,323.555267558035,0.323555267558035,2.4731991156726187,0.7884745002404794,0.7884745002404794,78.84745002404794,0.6827160273352382,phase,phase_line_disagreement,0.6827160273352382,1.1824988464862152,1.1259999999999868,1.4999999999999456
MIC_AI,2.4731991156726183,131.0044136546944,0.05930582591835787,0.0004527009759738176,1,130.94510782877603,1250.433671079057,0.9149623364731824,215.2482488946063,372.72233873258347,409.7079993977129,409.7079993977129,402.5677757618577,366.62070735550344,323.8533248837846,0.3238533248837846,2.4731991156726187,0.7904491134170235,0.7904491134170235,79.04491134170235,0.6813572936233203,phase,phase_line_disagreement,0.6813572936233203,1.1801454506632165,1.1259999999999868,1.4999999999999456
FOC,3.297598820896825,43.66813788489812,0.8155921390485119,0.018677053305965915,1,42.85254574584961,409.2116687714122,2.705777666729317,128.77419122251953,222.6021005978398,627.2834457475278,633.3841386993898,597.7907110808811,153.177140691662,141.3105043239409,0.1413105043239409,3.2975988208968245,0.22527376624062267,0.22527376624062267,22.527376624062267,0.563608171304837,phase,phase_line_disagreement,0.563608171304837,0.976197988260961,1.1259999999999868,1.4999999999999456
MIC_AI,3.297598820896825,43.66813788489812,0.5973436750999426,0.01367916526860935,1,43.07079420979818,411.29578808298993,2.3889827775360533,117.05145608453769,202.39311743350768,509.58666194231296,512.1536059233631,483.13604334732224,145.23453686261968,142.03020020132027,0.14203020020132026,3.297598820896825,0.27871647907730873,0.27871647907730873,27.871647907730875,0.5714875795961399,phase,phase_line_disagreement,0.5714875795961399,0.9898455237550773,1.1259999999999868,1.4999999999999456
FOC,3.297598820896825,72.78022980816354,0.24351496315807708,0.003345894397420036,1,73.02374477132162,697.3253966062069,1.1029493439344789,168.2504386012051,291.2065270679548,302.77337762945194,302.77337762945194,294.50409426490717,251.9378259097448,240.80301465538085,0.24080301465538084,3.297598820896825,0.7953242670829755,0.7953242670829755,79.53242670829755,0.5290032136924558,phase,phase_line_disagreement,0.5290032136924558,0.9162604434825494,1.1259999999999868,1.4999999999999456
MIC_AI,3.297598820896825,72.78022980816354,0.18654633522838537,0.002563145729548947,1,72.96677614339193,696.7813862820366,1.0383910378379084,155.75049599606595,269.5812236340126,300.4885564234509,300.4885564234509,292.8902624003198,252.72262684120025,240.6151549750918,0.2406151549750918,3.297598820896825,0.8007464837896022,0.8007464837896022,80.07464837896022,0.6036612641686648,phase,phase_line_disagreement,0.6036612641686648,1.0455719801013854,1.1259999999999868,1.4999999999999456
