policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end
FOC,0.8243997052242062,43.66813788489812,1.148583065155286,0.026302542787209247,1,42.51955481974284,406.03183965773377,2.3511241239429936,112.20774018730815,193.78604506450418,373.15704349855724,394.83969374981626,370.5123043560324,28.9591864206973,35.05310845966047,0.03505310845966047,0.8243997052242062,0.09393661213256986,0.09393661213256986,9.393661213256985,0.434590953046221,phase,phase_line_disagreement,0.434590953046221,0.752733611185835,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,43.66813788489812,1.0376898054710395,0.02376308804845802,1,42.63044807942708,407.090792283793,2.381908976413505,112.35311065824841,194.09625290220552,402.3181297287109,426.7364916756254,402.04231388601653,39.755209474009746,35.14452883025551,0.03514452883025551,0.8243997052242061,0.08735507110741936,0.08735507110741936,8.735507110741935,0.4638220707700733,phase,phase_line_disagreement,0.4638220707700733,0.8033633922455745,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,72.78022980816354,0.03619273822317837,0.000497288045374085,1,72.81642254638672,695.345615191535,0.8692766393827654,150.0302522045306,259.61005326057534,94.23201703903128,96.02862302687369,90.54635951778546,71.24863352368224,60.02983728272245,0.060029837282722445,0.8243997052242061,0.6370428986769735,0.6370428986769735,63.70428986769735,0.22566643108120193,phase,phase_line_disagreement,0.22566643108120193,0.39086572419538224,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,72.78022980816354,0.06069355202525628,0.000833929106643855,1,72.8409233601888,695.5795807291175,0.8845077240912377,147.8487345601661,255.83309630662396,105.8090443630754,109.42353651058608,104.16354800434534,79.28710450679215,60.050035746398656,0.06005003574639865,0.8243997052242065,0.5675321623767973,0.5675321623767973,56.75321623767972,0.25422303114469347,phase,phase_line_disagreement,0.25422303114469347,0.44032720639677414,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,101.89232173142895,0.11747618116871195,0.0011529443943613282,1,102.00979791259766,974.1218148957136,0.7660559071636798,185.45302786350837,320.99117066178576,127.14655475519089,127.14655475519089,121.64294539901327,108.76216074240229,84.09684732912636,0.08409684732912637,0.8243997052242062,0.6614166423230828,0.6614166423230828,66.14166423230829,0.28541137541093625,phase,phase_line_disagreement,0.28541137541093625,0.4943470032698561,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,101.89232173142895,0.11619696567390747,0.0011403898124942443,1,102.00851869710286,974.1095992875569,0.7579580894725148,183.21058100126072,317.1152881362392,127.05880297960343,127.05880297960343,121.61563635742164,108.8946020575976,84.09579274424954,0.08409579274424954,0.8243997052242064,0.6618651425336449,0.6618651425336449,66.18651425336449,0.2919257586427157,phase,phase_line_disagreement,0.2919257586427157,0.5056302460072729,1.1259999999999868,1.4999999999999456
FOC,0.8243997052242062,131.0044136546944,0.12002925708947032,0.0009162230015077756,1,131.12444291178386,1252.1461949748864,0.7089625373770115,216.49799316613158,374.88186320440644,165.4267207000985,165.4267207000985,159.9924869816432,148.00608594642668,108.09895208416287,0.10809895208416287,0.8243997052242062,0.6534552073974498,0.6534552073974498,65.34552073974498,0.3474570855803654,phase,phase_line_disagreement,0.3474570855803654,0.6018133256750007,1.1259999999999868,1.4999999999999456
MIC_AI,0.8243997052242062,131.0044136546944,0.1285775562431013,0.0009814749950487174,1,131.1329912109375,1252.2278252188062,0.708665754198779,215.24453236870463,372.68234609828426,166.5254744141259,166.5254744141259,161.092888572693,148.90925499169532,108.10599929946531,0.10810599929946531,0.8243997052242064,0.649185955961432,0.649185955961432,64.9185955961432,0.35203151091610807,phase,phase_line_disagreement,0.35203151091610807,0.609736462771937,1.1259999999999868,1.4999999999999456
FOC,1.6487994104484125,43.66813788489812,0.9698036563824957,0.022208495790196854,1,42.69833422851563,407.7390572554879,2.4919861547250366,118.15711357187361,204.19415645674965,484.6309440557564,500.8671180744501,472.72184078300074,87.20782160404194,70.40098830310583,0.07040098830310583,1.6487994104484125,0.1452672165626433,0.1452672165626433,14.52672165626433,0.5117263800843334,phase,phase_line_disagreement,0.5117263800843334,0.886336089879368,1.1259999999999868,1.4999999999999456
MIC_AI,1.6487994104484125,43.66813788489812,0.7693832665712961,0.017618870504605925,1,42.89875461832683,409.6529309995793,2.555590753926147,117.85452140926289,203.66204745759387,495.8518919532327,510.32529769295377,479.7021180813126,78.73923670963224,70.73144132366839,0.07073144132366839,1.6487994104484127,0.14264630723712066,0.14264630723712066,14.264630723712065,0.5109232718922128,phase,phase_line_disagreement,0.5109232718922128,0.8849450656866401,1.1259999999999868,1.4999999999999456
