policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.8243997052242062,145.56045961632708,0.050912087774491965,0.0003497659179470007,1,145.61137170410157,1390.4861746259462,0.661806785482192,218.10258514877407,377.7023509892628,187.12827410928952,187.12827410928952,181.8511432729015,170.16765476361115,120.04197191015368,0.12004197191015367,0.8243997052242064,0.6414956397238235,0.6414956397238235,64.14956397238235,0.41995499590277474,phase,phase_line_disagreement,0.41995499590277474,0.7273833897959855,1.1259999999999868,1.4999999999999456,0.2
MIC_AI,0.8243997052242062,145.56045961632708,0.05586529415469954,0.0003837944336116489,1,145.61632491048178,1390.5334742627203,0.6612493122090843,218.02213741520936,377.5613472979912,186.97552433011765,186.97552433011765,181.70203538463718,170.04633000569558,120.0460553320334,0.1200460553320334,0.8243997052242061,0.6420415493531878,0.6420415493531878,64.20415493531878,0.42011937542216876,phase,phase_line_disagreement,0.42011937542216876,0.7276681034752998,1.1259999999999868,1.4999999999999456,0.2
FOC,1.6487994104484125,145.56045961632708,0.11452386600154796,0.0007867786781067718,1,145.44593575032553,1388.9063776374314,0.7756490261539418,216.4999188463395,374.9010662515305,322.280595632214,322.280595632214,316.1650535803922,292.8236955539284,239.81117311725438,0.2398111731172544,1.6487994104484123,0.7441067702100391,0.7441067702100391,74.4106770210039,0.6275807596686276,phase,phase_line_disagreement,0.6275807596686276,1.087001761598736,1.1259999999999868,1.4999999999999456,0.4
MIC_AI,1.6487994104484125,145.56045961632708,0.10331667199113781,0.0007097852827853333,1,145.45714294433594,1389.0133984569284,0.7747189669392442,216.57200549973354,375.02685760286954,321.6456121468019,321.6456121468019,315.53724018116037,292.2886621349414,239.82965153213155,0.23982965153213154,1.6487994104484125,0.7456332139319568,0.7456332139319568,74.56332139319568,0.6268777580612623,phase,phase_line_disagreement,0.6268777580612623,1.0857841270969768,1.1259999999999868,1.4999999999999456,0.4
FOC,2.4731991156726183,145.56045961632708,0.47114223351456985,0.0032367459869007123,1,145.0893173828125,1385.500923078208,0.950416053330895,214.88197697035199,372.08838960368007,469.63557023780777,469.63557023780777,461.9949479373029,417.8381612950289,358.8347714447157,0.3588347714447157,2.4731991156726183,0.7640706841328347,0.7640706841328347,76.40706841328347,0.7540535995683925,phase,,0.7540535995683925,1.3060591460826532,1.1259999999999868,1.4999999999999456,0.6
MIC_AI,2.4731991156726183,145.56045961632708,0.45899713260311614,0.0031533091734730397,1,145.10146248372396,1385.6169002488725,0.9510277203748636,214.9404205254581,372.18957323287844,469.7146625478169,469.7146625478169,462.06835256800116,417.8803194067379,358.8648086975497,0.35886480869754966,2.4731991156726183,0.7640059749274216,0.7640059749274216,76.40059749274216,0.7534834186464777,phase,,0.7534834186464777,1.3050715637563903,1.1259999999999868,1.4999999999999456,0.6
FOC,3.297598820896825,145.56045961632708,1.5935920219260424,0.010947973276028967,1,143.96686759440104,1374.7823171463197,1.2108529289126713,213.97975061430512,370.52989216011576,651.0004648353912,651.0004648353912,640.5393818879483,558.8173789609289,474.74497282750616,0.47474497282750616,3.297598820896825,0.7292544298682611,0.7292544298682611,72.92544298682611,0.824063176488437,phase,,0.824063176488437,1.4273192903245717,1.1259999999999868,1.4999999999999456,0.8
MIC_AI,3.297598820896825,145.56045961632708,1.4923775850770937,0.010252630343506406,1,144.06808203125,1375.7488438225262,1.2069343194622275,213.9568117344229,370.48990932856873,648.4663839001022,648.4663839001022,638.0515655366563,556.9908765404397,475.07873743511703,0.475078737435117,3.297598820896825,0.7326189132238874,0.7326189132238874,73.26189132238873,0.8236159898161785,phase,,0.8236159898161785,1.4265447402877522,1.1259999999999868,1.4999999999999456,0.8
FOC,4.121998526121031,145.56045961632708,5.635406922642176,0.03871523171537217,1,139.9250526936849,1336.1858279156327,1.6125886152999813,213.48750372069625,369.6799137729542,899.9652202389793,899.9652202389793,883.8633138922618,727.5740990119496,576.7708609707767,0.5767708609707767,4.12199852612103,0.6408812785205402,0.6408812785205402,64.08812785205401,0.8557911775551732,phase,,0.8557911775551732,1.4822738001947584,1.1259999999999868,1.4999999999999456,1.0
MIC_AI,4.121998526121031,145.56045961632708,5.441220439894778,0.03738117105590983,1,140.1192391764323,1338.0401722322852,1.6192378616389644,213.5161855156432,369.7293252390388,903.5459438429659,903.5459438429659,887.3342862448267,729.3787975987532,577.5712973664541,0.5775712973664542,4.121998526121031,0.6392273700105665,0.6392273700105665,63.92273700105665,0.8555089470652366,phase,,0.8555089470652366,1.481784962646743,1.1259999999999868,1.4999999999999456,1.0
