policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,4.0066978680477146,149.7492498211135,64.84517298293804,0.4330250272398718,0,84.90407683817546,810.7742110469834,14.274615044793515,216.75787756900627,375.3283885392874,1565.0391007102462,2959.1454527649817,2836.8684356986205,585.3171457917557,340.18498365607695,0.34018498365607697,4.0066978680477146,0.21736516582984677,0.21736516582984677,21.736516582984677,0.14839696854744241,phase,phase_line_disagreement,0.14839696854744241,0.2570310892133709,1.1259999999999868,1.4999999999999456,0.2
MIC_AI,4.0066978680477146,149.7492498211135,162.46722677977687,1.0849284852769274,0,-12.717976958663375,121.44773394600634,8.78937216708586,28.771164043168838,56.3007999946849,876.5228760102326,876.5228760102326,801.6617276456769,-80.17170252437982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,phase,,1.0567070581361067,1.8302703134083758,0.08200000000000006,0.10800000000000008,0.2
FOC,8.013395736095429,149.7492498211135,150.60444315193539,1.005710835492288,0,-0.8551933308218916,8.166494753971595,11.864940635490631,59.43239184516801,100.29952599787146,1051.2086703249897,1156.5806137923216,1045.4506683476945,-25.684992319414654,56.746517979044235,0.05674651797904424,66.35519236861617,0.05398216318126504,0.05398216318126504,5.3982163181265035,0.4381568020383534,phase,phase_line_disagreement,0.4381568020383534,0.7589098428123269,1.1259999999999868,1.4999999999999456,0.4
MIC_AI,8.013395736095429,149.7492498211135,176.2545861701884,1.1769981244028767,0,-26.505336349074906,253.1073178961137,9.076069892699342,61.005692551179344,107.58295928955472,530.4326088862812,530.4326088862812,453.6613046626332,-306.71745009922176,0.0,0.0,0.0,0.0,0.0,0.0,0.27311294755292403,phase,phase_line_disagreement,0.27311294755292403,0.47304550136655854,0.10900000000000008,0.1450000000000001,0.4
FOC,12.020093604143142,149.7492498211135,153.45863741315102,1.0247706589279657,0,-3.709387592037519,35.42204226699084,15.271825499178865,96.24262059026573,164.52381025311104,1805.1966706979867,2128.220551418316,1971.8445482510658,-23.501417140921077,94.90773933573475,0.09490773933573475,25.585824339160833,0.05257473652388151,0.05257473652388151,5.257473652388152,0.36382320772539595,phase,phase_line_disagreement,0.36382320772539595,0.6301602807530715,1.1259999999999868,1.4999999999999456,0.6
MIC_AI,12.020093604143142,149.7492498211135,210.61238875356167,1.4064336816722198,0,-60.863138932448166,581.2001647912745,8.644257591023411,138.55642164490726,238.91752068446306,-93.41971595112558,25.35329771832499,11.23330422786618,-864.351980841099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase,,-0.045368216663389166,-0.078580056309783,0.1540000000000001,0.20500000000000015,0.6
FOC,16.026791472190858,149.7492498211135,156.44288734742696,1.044698972010274,0,-6.693637526313464,63.91952997469166,17.387714565078834,114.54927046926677,196.88738318726777,2218.0041444060535,2837.1594714216417,2639.7866954809665,-80.77283059255507,123.67368108808995,0.12367368108808995,18.476303893348632,0.05575899458979947,0.05575899458979947,5.575899458979947,0.32732423613416256,phase,phase_line_disagreement,0.32732423613416256,0.5669422075330421,1.1259999999999868,1.4999999999999456,0.8
MIC_AI,16.026791472190858,149.7492498211135,331.560574271548,2.214105076770812,0,-181.81132445043448,1736.1702597822614,5.2083726953241305,219.87990294586766,380.81887849397754,-1119.2668736499938,241.95758656929135,236.09443099481143,-1330.9058057101222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase,both_phase_and_line_out_of_range,-0.33605663773440986,-0.5820671707767662,0.2920000000000002,0.3890000000000003,0.8
FOC,20.03348934023857,149.7492498211135,149.7492498211135,1.0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase,both_phase_and_line_out_of_range|non_finite_cosphi,nan,nan,1.1259999999999868,1.4999999999999456,1.0
MIC_AI,20.03348934023857,149.7492498211135,368.8916195486793,2.4633954426439364,0,-219.1423697275658,2092.655482980829,4.371606502418763,219.85152959849276,380.77168725086244,-706.5205900332461,283.85451394426235,277.78617381417916,-829.4526984620501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase,both_phase_and_line_out_of_range,-0.25540150812984047,-0.44236838841059933,0.21700000000000016,0.2890000000000002,1.0
