policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.3459890067215116,144.5132620651305,25.910423737086887,0.17929443545056337,0,118.60283832804362,1132.5736790782228,0.45267125072579617,186.0443049897358,320.9527186965136,213.52674512897292,213.52674512897292,209.78183273225883,181.31585164068747,41.035278227471835,0.041035278227471834,0.34598900672151156,0.19217863412232503,0.19217863412232503,19.217863412232504,0.8303234949726434,phase,,0.8303234949726434,1.4381624800107795,1.1254999999999316,1.4999999999998903,0.2
MIC_AI,0.3459890067215116,144.5132620651305,35.852952118434544,0.24809454582982163,0,108.66030994669596,1037.6295267548464,0.6804752104342686,130.76836288431252,225.63718499857524,257.37605686021294,257.37605686021294,250.69403317613111,173.1660086419824,37.59527270850892,0.037595272708508924,0.3459890067215116,0.14607136797082804,0.14607136797082804,14.607136797082804,0.9390911489766328,phase,,0.9390911489766328,1.626553582965762,1.1254999999999316,1.4999999999998903,0.2
FOC,0.6919780134430232,144.5132620651305,38.879737335719696,0.2690392340475785,0,105.63352472941081,1008.7258570143418,0.4866555168523326,181.03034404494596,312.2868754535316,223.74904575961688,223.74904575961688,219.72398551142254,186.80901301106005,73.09607659524215,0.07309607659524216,0.6919780134430231,0.32668776909007413,0.32668776909007413,32.66877690900741,0.8313486300198619,phase,,0.8313486300198619,1.4399380659971819,1.1254999999999316,1.4999999999998903,0.4
MIC_AI,0.6919780134430232,144.5132620651305,52.883427795924774,0.36594169310281577,0,91.62983426920573,875.0004635181144,0.7250935268496329,123.97718443341445,213.90436522948417,260.8981632859772,260.8981632859772,253.61270543802164,165.55930368175112,63.405830689718435,0.06340583068971843,0.6919780134430232,0.24302904202594047,0.24302904202594047,24.302904202594046,0.9404028898436141,phase,,0.9404028898436141,1.6288255847937378,1.1254999999999316,1.4999999999998903,0.4
FOC,1.0379670201645348,144.5132620651305,50.123577606715784,0.3468441365895239,0,94.38968445841472,901.3550915064573,0.520605391185612,175.7940276930301,303.23714803819263,233.15088219146412,233.15088219146412,228.81377405726127,191.08617615487893,97.97337951157141,0.09797337951157141,1.0379670201645346,0.42021449196625993,0.42021449196625993,42.021449196625994,0.8333897063827433,phase,,0.8333897063827433,1.4434733139598201,1.1254999999999316,1.4999999999998903,0.6
MIC_AI,1.0379670201645348,144.5132620651305,67.96100180613799,0.4702751902140907,0,76.55226025899252,731.020237504555,0.7703425918466441,117.18257782630441,202.17272063792333,263.0560799183914,263.0560799183914,255.1065504410496,155.6676883180327,79.45872146788639,0.07945872146788639,1.0379670201645346,0.30206000748029505,0.30206000748029505,30.206000748029503,0.9420054112065791,phase,,0.9420054112065791,1.6316012332146077,1.1254999999999316,1.4999999999998903,0.6
FOC,1.3839560268860465,144.5132620651305,59.620774119573866,0.4125626483519793,0,84.89248794555664,810.6635452742687,0.554102659113712,171.005289767609,294.9674980196789,241.94551587113133,241.94551587113133,237.26866374666042,194.5160618885156,117.48747032960415,0.11748747032960415,1.3839560268860465,0.48559474188470636,0.48559474188470636,48.55947418847064,0.834678737675385,phase,,0.834678737675385,1.4457059816512217,1.1254999999999316,1.4999999999998903,0.8
MIC_AI,1.3839560268860465,144.5132620651305,81.38716952057484,0.5631813188459794,0,63.12609254455566,602.8097799925486,0.815207495490735,110.4232891695367,190.49011910630182,263.4435168293976,263.4435168293976,254.78694400015007,143.39852142443505,87.36373623080414,0.08736373623080414,1.3839560268860465,0.33162226682306134,0.33162226682306134,33.162226682306134,0.9434677761906081,phase,,0.9434677761906081,1.6341341236661555,1.1254999999999316,1.4999999999998903,0.8
FOC,1.729945033607558,144.5132620651305,67.99395516001982,0.47050322017764507,0,76.51930690511068,730.7055561548499,0.5863226346782137,166.09164238901147,286.4727678053115,249.33876126929704,249.33876126929704,244.30918192013274,196.41629600608283,132.37419495558873,0.13237419495558875,1.729945033607558,0.530900989006754,0.530900989006754,53.0900989006754,0.8362460798521045,phase,,0.8362460798521045,1.4484206979341454,1.1254999999999316,1.4999999999998903,1.0
MIC_AI,1.729945033607558,144.5132620651305,93.21429003449086,0.6450223924256877,0,51.298972030639646,489.869098452551,0.8615378446236956,103.99545853459244,179.38994686245576,263.35351181010833,263.35351181010833,253.91170390829862,129.48332819609462,88.74440189357809,0.08874440189357809,1.7299450336075581,0.3369782361496187,0.3369782361496187,33.69782361496187,0.94465392119505,phase,,0.94465392119505,1.6361885870789932,1.1254999999999316,1.4999999999998903,1.0
