policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.8243997052242062,145.56045961632708,0.050912087774491965,0.0003497659179470007,1,145.61137170410157,1390.4861746259462,0.661806785482192,218.10258514877407,377.7023509892628,187.12827410928952,187.12827410928952,181.8511432729015,170.16765476361115,120.04197191015368,0.12004197191015367,0.8243997052242064,0.6414956397238235,0.6414956397238235,64.14956397238235,0.41995499590277474,phase,phase_line_disagreement,0.41995499590277474,0.7273833897959855,1.1259999999999868,1.4999999999999456,0.2
MIC_AI,0.8243997052242062,145.56045961632708,0.055519265508849,0.00038141721766466293,1,145.61597888183593,1390.530169932554,0.6612322128145829,218.0157456727051,377.54995808286657,187.01616901027376,187.01616901027376,181.74279314592286,170.08544980559302,120.04577006611977,0.12004577006611977,0.8243997052242061,0.6419004875430051,0.6419004875430051,64.1900487543005,0.42023679954757415,phase,phase_line_disagreement,0.42023679954757415,0.7278714880265363,1.1259999999999868,1.4999999999999456,0.2
FOC,1.6487994104484125,145.56045961632708,0.11452386600154796,0.0007867786781067718,1,145.44593575032553,1388.9063776374314,0.7756490261539418,216.4999188463395,374.9010662515305,322.280595632214,322.280595632214,316.1650535803922,292.8236955539284,239.81117311725438,0.2398111731172544,1.6487994104484123,0.7441067702100391,0.7441067702100391,74.4106770210039,0.6275807596686276,phase,phase_line_disagreement,0.6275807596686276,1.087001761598736,1.1259999999999868,1.4999999999999456,0.4
MIC_AI,1.6487994104484125,145.56045961632708,0.10308811567603016,0.0007082151014619843,1,145.45737150065105,1389.015581008968,0.7751181906422676,216.49616053720572,374.8943972020983,321.72364152482726,321.72364152482726,315.61216704366575,292.33484174489695,239.83002837564914,0.23983002837564912,1.6487994104484123,0.7454535427951805,0.7454535427951805,74.54535427951805,0.6269232186251916,phase,phase_line_disagreement,0.6269232186251916,1.085862867103443,1.1259999999999868,1.4999999999999456,0.4
FOC,2.4731991156726183,145.56045961632708,0.47114223351456985,0.0032367459869007123,1,145.0893173828125,1385.500923078208,0.950416053330895,214.88197697035199,372.08838960368007,469.63557023780777,469.63557023780777,461.9949479373029,417.8381612950289,358.8347714447157,0.3588347714447157,2.4731991156726183,0.7640706841328347,0.7640706841328347,76.40706841328347,0.7540535995683925,phase,,0.7540535995683925,1.3060591460826532,1.1259999999999868,1.4999999999999456,0.6
MIC_AI,2.4731991156726183,145.56045961632708,0.45381829959529796,0.0031177306034309506,1,145.10664131673178,1385.6663544612309,0.950834940100374,214.94490305340628,372.19738394487183,469.06631513710994,469.06631513710994,461.4218450499382,417.3778704230222,358.8776169827649,0.3588776169827649,2.4731991156726183,0.7650892963351323,0.7650892963351323,76.50892963351323,0.752566034095443,phase,,0.752566034095443,1.3034826071039196,1.1259999999999868,1.4999999999999456,0.6
FOC,3.297598820896825,145.56045961632708,1.5935920219260424,0.010947973276028967,1,143.96686759440104,1374.7823171463197,1.2108529289126713,213.97975061430512,370.52989216011576,651.0004648353912,651.0004648353912,640.5393818879483,558.8173789609289,474.74497282750616,0.47474497282750616,3.297598820896825,0.7292544298682611,0.7292544298682611,72.92544298682611,0.824063176488437,phase,,0.824063176488437,1.4273192903245717,1.1259999999999868,1.4999999999999456,0.8
MIC_AI,3.297598820896825,145.56045961632708,1.4878855196473921,0.010221769865038956,1,144.0725740966797,1375.791739887596,1.206361648848736,214.0518035500942,370.65400780494434,648.054396631899,648.054396631899,637.6465068702971,556.754906936304,475.0935504647813,0.4750935504647813,3.297598820896824,0.7331075183409934,0.7331075183409934,73.31075183409934,0.8231184123383504,phase,,0.8231184123383504,1.4256829108154518,1.1259999999999868,1.4999999999999456,0.8
FOC,4.121998526121031,145.56045961632708,5.635406922642176,0.03871523171537217,1,139.9250526936849,1336.1858279156327,1.6125886152999813,213.48750372069625,369.6799137729542,899.9652202389793,899.9652202389793,883.8633138922618,727.5740990119496,576.7708609707767,0.5767708609707767,4.12199852612103,0.6408812785205402,0.6408812785205402,64.08812785205401,0.8557911775551732,phase,,0.8557911775551732,1.4822738001947584,1.1259999999999868,1.4999999999999456,1.0
MIC_AI,4.121998526121031,145.56045961632708,5.47616265994688,0.03762122402183343,1,140.0842969563802,1337.7064986096516,1.621912325462626,213.4308190307097,369.581610884161,904.0713110656043,904.0713110656043,887.8169023648288,729.521743565727,577.4272655869,0.5774272655869,4.121998526121031,0.6386965923144958,0.6386965923144958,63.86965923144958,0.8549045904725793,phase,,0.8549045904725793,1.4807381863223716,1.1259999999999868,1.4999999999999456,1.0
