policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.3459890067215116,144.5132620651305,25.910423737086887,0.17929443545056337,0,118.60283832804362,1132.5736790782228,0.45267125072579617,186.0443049897358,320.9527186965136,213.52674512897292,213.52674512897292,209.78183273225883,181.31585164068747,41.035278227471835,0.041035278227471834,0.34598900672151156,0.19217863412232503,0.19217863412232503,19.217863412232504,0.8303234949726434,phase,,0.8303234949726434,1.4381624800107795,1.1254999999999316,1.4999999999998903,0.2
MIC_AI,0.3459890067215116,144.5132620651305,28.547008118190405,0.19753901967367252,0,115.9662539469401,1107.396152850332,0.5296416875533247,156.12803096032238,269.3727032148038,229.37452882403474,229.37452882403474,224.76240838922638,180.63431755168548,40.12304901631638,0.04012304901631638,0.3459890067215116,0.17492373378169151,0.17492373378169151,17.49237337816915,0.9060233263518103,phase,,0.9060233263518103,1.5692784340838934,1.1254999999999316,1.4999999999998903,0.2
FOC,0.6919780134430232,144.5132620651305,38.879737335719696,0.2690392340475785,0,105.63352472941081,1008.7258570143418,0.4866555168523326,181.03034404494596,312.2868754535316,223.74904575961688,223.74904575961688,219.72398551142254,186.80901301106005,73.09607659524215,0.07309607659524216,0.6919780134430231,0.32668776909007413,0.32668776909007413,32.66877690900741,0.8313486300198619,phase,,0.8313486300198619,1.4399380659971819,1.1254999999999316,1.4999999999998903,0.4
MIC_AI,0.6919780134430232,144.5132620651305,42.727254171250294,0.295663204612969,0,101.78600789388021,971.9847776341029,0.5675445659071726,150.68165164170426,259.9608756304443,237.7004393843615,237.7004393843615,232.7063611330462,182.02002978050754,70.4336795387031,0.07043367953870311,0.6919780134430231,0.29631278646823145,0.29631278646823145,29.631278646823144,0.9070404574469092,phase,,0.9070404574469092,1.5710401568185628,1.1254999999999316,1.4999999999998903,0.4
FOC,1.0379670201645348,144.5132620651305,50.123577606715784,0.3468441365895239,0,94.38968445841472,901.3550915064573,0.520605391185612,175.7940276930301,303.23714803819263,233.15088219146412,233.15088219146412,228.81377405726127,191.08617615487893,97.97337951157141,0.09797337951157141,1.0379670201645346,0.42021449196625993,0.42021449196625993,42.021449196625994,0.8333897063827433,phase,,0.8333897063827433,1.4434733139598201,1.1254999999999316,1.4999999999998903,0.6
MIC_AI,1.0379670201645348,144.5132620651305,55.13116921031279,0.3814955694894341,0,89.38209285481771,853.5361141045811,0.6056216941812571,145.1669592604458,250.43147745097258,244.9634927497499,244.9634927497499,239.54699056633197,181.80680086892067,92.7756645765849,0.0927756645765849,1.0379670201645348,0.37873261658365875,0.37873261658365875,37.87326165836588,0.9082392384665957,phase,,0.9082392384665957,1.5731165064518091,1.1254999999999316,1.4999999999998903,0.6
FOC,1.3839560268860465,144.5132620651305,59.620774119573866,0.4125626483519793,0,84.89248794555664,810.6635452742687,0.554102659113712,171.005289767609,294.9674980196789,241.94551587113133,241.94551587113133,237.26866374666042,194.5160618885156,117.48747032960415,0.11748747032960415,1.3839560268860465,0.48559474188470636,0.48559474188470636,48.55947418847064,0.834678737675385,phase,,0.834678737675385,1.4457059816512217,1.1254999999999316,1.4999999999998903,0.8
MIC_AI,1.3839560268860465,144.5132620651305,65.99487322540882,0.45667001271942553,0,78.51838883972168,749.7953824471929,0.6427491582913468,139.68013319681268,240.95365046860712,250.91844840197567,250.91844840197567,245.05505060873327,179.94647295875762,108.66599745611491,0.10866599745611491,1.3839560268860465,0.4330729691187557,0.4330729691187557,43.30729691187557,0.9098425555693265,phase,,0.9098425555693265,1.575893533134383,1.1254999999999316,1.4999999999998903,0.8
FOC,1.729945033607558,144.5132620651305,67.99395516001982,0.47050322017764507,0,76.51930690511068,730.7055561548499,0.5863226346782137,166.09164238901147,286.4727678053115,249.33876126929704,249.33876126929704,244.30918192013274,196.41629600608283,132.37419495558873,0.13237419495558875,1.729945033607558,0.530900989006754,0.530900989006754,53.0900989006754,0.8362460798521045,phase,,0.8362460798521045,1.4484206979341454,1.1254999999999316,1.4999999999998903,1.0
MIC_AI,1.729945033607558,144.5132620651305,75.79354586843453,0.5244746730184198,0,68.71971619669597,656.2249512345807,0.6800005131367556,133.97328556102005,231.0901059968182,255.37326775903017,255.37326775903017,249.02731135706168,176.1299717447057,118.88133174539503,0.11888133174539503,1.7299450336075577,0.4655198752344403,0.4655198752344403,46.551987523444026,0.9111676168958885,phase,,0.9111676168958885,1.5781886066751334,1.1254999999999316,1.4999999999998903,1.0
