policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.8243997052242062,145.56045961632708,0.050912087774491965,0.0003497659179470007,1,145.61137170410157,1390.4861746259462,0.661806785482192,218.10258514877407,377.7023509892628,187.12827410928952,187.12827410928952,181.8511432729015,170.16765476361115,120.04197191015368,0.12004197191015367,0.8243997052242064,0.6414956397238235,0.6414956397238235,64.14956397238235,0.41995499590277474,phase,phase_line_disagreement,0.41995499590277474,0.7273833897959855,1.1259999999999868,1.4999999999999456,0.2
MIC_AI,0.8243997052242062,145.56045961632708,0.055519265508849,0.00038141721766466293,1,145.61597888183593,1390.530169932554,0.6612322326442589,218.01575569895624,377.5499755440331,187.01617380141056,187.01617380141056,181.74279781083342,170.0854539390989,120.04577006611977,0.12004577006611977,0.8243997052242061,0.6419004710982614,0.6419004710982614,64.19004710982614,0.42023677840547036,phase,phase_line_disagreement,0.42023677840547036,0.7278714514073383,1.1259999999999868,1.4999999999999456,0.2
FOC,1.6487994104484125,145.56045961632708,0.11452386600154796,0.0007867786781067718,1,145.44593575032553,1388.9063776374314,0.7756490261539418,216.4999188463395,374.9010662515305,322.280595632214,322.280595632214,316.1650535803922,292.8236955539284,239.81117311725438,0.2398111731172544,1.6487994104484123,0.7441067702100391,0.7441067702100391,74.4106770210039,0.6275807596686276,phase,phase_line_disagreement,0.6275807596686276,1.087001761598736,1.1259999999999868,1.4999999999999456,0.4
MIC_AI,1.6487994104484125,145.56045961632708,0.10308941775937797,0.0007082240467713853,1,145.4573701985677,1389.0155685749878,0.7751182201743229,216.49618710026706,374.8944432975786,321.7236574251519,321.7236574251519,315.6121827461295,292.3348583571928,239.83002622877487,0.23983002622877486,1.6487994104484123,0.7454534992801102,0.7454534992801102,74.54534992801102,0.6269231490097874,phase,phase_line_disagreement,0.6269231490097874,1.085862746526026,1.1259999999999868,1.4999999999999456,0.4
FOC,2.4731991156726183,145.56045961632708,0.47114223351456985,0.0032367459869007123,1,145.0893173828125,1385.500923078208,0.950416053330895,214.88197697035199,372.08838960368007,469.63557023780777,469.63557023780777,461.9949479373029,417.8381612950289,358.8347714447157,0.3588347714447157,2.4731991156726183,0.7640706841328347,0.7640706841328347,76.40706841328347,0.7540535995683925,phase,,0.7540535995683925,1.3060591460826532,1.1259999999999868,1.4999999999999456,0.6
MIC_AI,2.4731991156726183,145.56045961632708,0.45381333540260016,0.003117696499439311,1,145.10664628092448,1385.6664018657793,0.9508349718399137,214.9448693052669,372.19732559405406,469.0662837257835,469.0662837257835,461.42181325169264,417.3778267798354,358.87762926020196,0.35887762926020195,2.473199115672619,0.765089373744036,0.765089373744036,76.5089373744036,0.7525660752713581,phase,,0.7525660752713581,1.3034826784226963,1.1259999999999868,1.4999999999999456,0.6
FOC,3.297598820896825,145.56045961632708,1.5935920219260424,0.010947973276028967,1,143.96686759440104,1374.7823171463197,1.2108529289126713,213.97975061430512,370.52989216011576,651.0004648353912,651.0004648353912,640.5393818879483,558.8173789609289,474.74497282750616,0.47474497282750616,3.297598820896825,0.7292544298682611,0.7292544298682611,72.92544298682611,0.824063176488437,phase,,0.824063176488437,1.4273192903245717,1.1259999999999868,1.4999999999999456,0.8
MIC_AI,3.297598820896825,145.56045961632708,1.487855042759378,0.010221560488893165,1,144.0726045735677,1375.7920309204385,1.2063651069996457,214.05166142746103,370.6537618995829,648.0560580671449,648.0560580671449,637.6481260375978,556.7559550827534,475.09365096533145,0.47509365096533146,3.2975988208968254,0.7331057939375163,0.7331057939375163,73.31057939375162,0.8231186894461594,phase,,0.8231186894461594,1.4256833907802564,1.1259999999999868,1.4999999999999456,0.8
FOC,4.121998526121031,145.56045961632708,5.635406922642176,0.03871523171537217,1,139.9250526936849,1336.1858279156327,1.6125886152999813,213.48750372069625,369.6799137729542,899.9652202389793,899.9652202389793,883.8633138922618,727.5740990119496,576.7708609707767,0.5767708609707767,4.12199852612103,0.6408812785205402,0.6408812785205402,64.08812785205401,0.8557911775551732,phase,,0.8557911775551732,1.4822738001947584,1.1259999999999868,1.4999999999999456,1.0
MIC_AI,4.121998526121031,145.56045961632708,5.476219544712507,0.03762161482003355,1,140.08424007161457,1337.7059554001532,1.6219200675915,213.43053619784223,369.5811218710255,904.0747023542809,904.0747023542809,887.8201681266316,729.5232785641923,577.4270311079799,0.5774270311079799,4.121998526121031,0.6386939371318708,0.6386939371318708,63.86939371318709,0.854904787220412,phase,,0.854904787220412,1.480738527099614,1.1259999999999868,1.4999999999999456,1.0
