motor,seed,enabled,level,load_torque_scale,sigma_omega_add,sigma_i_abc_add
air56,101,0.0,0.0,1.0,0.0,0.0
air56,202,0.0,0.0,1.0,0.0,0.0
air56,303,0.0,0.0,1.0,0.0,0.0
air56,404,0.0,0.0,1.0,0.0,0.0
air56,505,0.0,0.0,1.0,0.0,0.0
al31,101,0.0,0.0,1.0,0.0,0.0
al31,202,0.0,0.0,1.0,0.0,0.0
al31,303,0.0,0.0,1.0,0.0,0.0
al31,404,0.0,0.0,1.0,0.0,0.0
al31,505,0.0,0.0,1.0,0.0,0.0
ao2,101,0.0,0.0,1.0,0.0,0.0
ao2,202,0.0,0.0,1.0,0.0,0.0
ao2,303,0.0,0.0,1.0,0.0,0.0
ao2,404,0.0,0.0,1.0,0.0,0.0
ao2,505,0.0,0.0,1.0,0.0,0.0
