motor,seed,controller,avg_power_saving_pct,avg_eta_gain_pct,err_failures,start_stop_power_saving_pct,worst_current_peak_ratio,worst_current_mean_ratio,avg_controller_speed_err,checkpoint,supervisor_source
air56,101,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.5235041741393505,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,101,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.5235041741393505,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,101,MIC,0.3319718427818502,-0.09880883713040411,1.0,1.1765889620209413,1.1352606591005003,1.0017848680891963,3.3855088637550685,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
air56,202,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.4903117067478595,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,202,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.4903117067478595,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,202,MIC,0.10366227068878409,-0.0887347973637348,2.0,0.41581560283524555,1.0971544705738505,1.0086495026948599,3.380448596443086,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
air56,303,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.4861598323844376,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,303,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.4861598323844376,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,303,MIC,0.47587666801453266,-0.09070771746297335,2.0,1.8506508594710591,1.0341468399392264,1.0024791005081726,3.352859717370195,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
al31,101,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.6911568480581045,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,101,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.6911568480581045,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,101,MIC,-0.4855734406960299,-0.031759375503756515,3.0,-1.9070666216066012,1.04168319977383,1.0010713137724405,0.8154242645106748,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
al31,202,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.7469221895784139,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,202,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.7469221895784139,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,202,MIC,-0.15572897159754073,-0.028049370898150516,3.0,-0.43834307489032387,1.0354278623286324,1.0020586241069374,1.0681685282180597,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
al31,303,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.9512920123189688,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,303,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.9512920123189688,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,303,MIC,1.0433089436439003,-0.032339402368111725,3.0,4.146631099354914,1.048744844888046,1.0019462803460348,1.0402873468984646,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
ao2,101,PI,0.0,0.0,0.0,0.0,1.0,1.0,8.991597624167799,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,101,FOC,0.0,0.0,0.0,0.0,1.0,1.0,8.991597624167799,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,101,MIC,18.716667195498168,34.2586624021803,3.0,72.30804547049337,1.2094139987803663,1.1702065551101921,12.855235071025618,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
ao2,202,PI,0.0,0.0,0.0,0.0,1.0,1.0,16.266247752871365,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,202,FOC,0.0,0.0,0.0,0.0,1.0,1.0,16.266247752871365,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,202,MIC,0.8389329550159476,1.7572863508128727,2.0,1.493773123708142,1.1845577354111942,1.169202616143449,14.200843231552053,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
ao2,303,PI,0.0,0.0,0.0,0.0,1.0,1.0,10.61751597701013,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,303,FOC,0.0,0.0,0.0,0.0,1.0,1.0,10.61751597701013,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,303,MIC,6.003050289773235,16.31824634374862,3.0,22.165980066604128,1.1982375000287275,1.1720480448258268,17.193960912745087,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
