mode,motor,controller,n,power_mean,power_std,power_min,power_max,eta_mean,eta_std,eta_min,eta_max,err_fail_max,current_peak_ratio_max,current_mean_ratio_max,speed_err_mean,power_worst_case,eta_worst_case
mode1,air56,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode1,air56,MIC,5,-28.036745594638614,15.175743725024574,-39.60729368402948,-6.169609003665388,-10.057278952762383,5.318219504385329,-14.94891636894904,-1.980306241728644,3.0,3.831509036720606,1.9396189869331255,3.77124736231789,-39.60729368402948,-14.94891636894904
mode1,air56,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode1,al31,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode1,al31,MIC,5,-13.890524660794114,1.7426756301638981,-15.648160330568754,-12.03891726592351,0.05009067293935352,0.008656492391542784,0.0411900649210761,0.0608997165100572,4.0,1.049668766124126,1.2331405435303664,1.4386054766267538,-15.648160330568754,0.0411900649210761
mode1,al31,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode1,ao2,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
mode1,ao2,MIC,5,-329.5705074071316,83.9299635679673,-442.5968482034255,-227.03663830676783,-62.00316530500709,16.262312911131012,-78.99910029762407,-43.47165854421896,4.0,11.70340660235546,9.477589539339546,53.42210452929006,-442.5968482034255,-78.99910029762407
mode1,ao2,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
mode2,air56,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode2,air56,MIC,5,-28.036745594638614,15.175743725024574,-39.60729368402948,-6.169609003665388,-10.057278952762383,5.318219504385329,-14.94891636894904,-1.980306241728644,3.0,3.831509036720606,1.9396189869331255,3.77124736231789,-39.60729368402948,-14.94891636894904
mode2,air56,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode2,al31,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode2,al31,MIC,5,-13.890524660794114,1.7426756301638981,-15.648160330568754,-12.03891726592351,0.05009067293935352,0.008656492391542784,0.0411900649210761,0.0608997165100572,4.0,1.049668766124126,1.2331405435303664,1.4386054766267538,-15.648160330568754,0.0411900649210761
mode2,al31,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode2,ao2,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
mode2,ao2,MIC,5,-329.5705074071316,83.9299635679673,-442.5968482034255,-227.03663830676783,-62.00316530500709,16.262312911131012,-78.99910029762407,-43.47165854421896,4.0,11.70340660235546,9.477589539339546,53.42210452929006,-442.5968482034255,-78.99910029762407
mode2,ao2,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
