mode,motor,controller,n,power_mean,power_std,power_min,power_max,eta_mean,eta_std,eta_min,eta_max,err_fail_max,current_peak_ratio_max,current_mean_ratio_max,speed_err_mean,power_worst_case,eta_worst_case
mode1,air56,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode1,air56,MIC,5,0.6147884835796003,0.13025639237160824,0.5151508570179902,0.8334788689859124,0.0013968558560217802,0.022692331510743173,-0.0194787941611151,0.0335324297119243,0.0,1.0849975164362249,1.002137579783304,3.4146899383234115,0.5151508570179902,-0.0194787941611151
mode1,air56,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode1,al31,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode1,al31,MIC,5,0.6211151560032363,0.44505191254230614,0.3540400206527294,1.413845803755784,0.006371654887438741,0.006592661852239192,-0.0003489512939297,0.0147923956702933,0.0,1.0637319929174096,1.0138071121478858,0.7422583400084883,0.3540400206527294,-0.0003489512939297
mode1,al31,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode1,ao2,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
mode1,ao2,MIC,5,0.16835792449304385,0.10647766398260061,0.0178824771622565,0.2736640847209204,0.31876369456445064,0.27604938633532516,0.0514208864567655,0.719140674283919,0.0,1.067853028417158,1.007100731137672,11.622021916707716,0.0178824771622565,0.0514208864567655
mode1,ao2,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
mode2,air56,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode2,air56,MIC,5,0.6147884835796003,0.13025639237160824,0.5151508570179902,0.8334788689859124,0.0013968558560217802,0.022692331510743173,-0.0194787941611151,0.0335324297119243,0.0,1.0849975164362249,1.002137579783304,3.4146899383234115,0.5151508570179902,-0.0194787941611151
mode2,air56,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.505448136737198,0.0,0.0
mode2,al31,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode2,al31,MIC,5,0.6211151560032363,0.44505191254230614,0.3540400206527294,1.413845803755784,0.006371654887438741,0.006592661852239192,-0.0003489512939297,0.0147923956702933,0.0,1.0637319929174096,1.0138071121478858,0.7422583400084883,0.3540400206527294,-0.0003489512939297
mode2,al31,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8134077759355307,0.0,0.0
mode2,ao2,FOC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
mode2,ao2,MIC,5,0.16835792449304385,0.10647766398260061,0.0178824771622565,0.2736640847209204,0.31876369456445064,0.27604938633532516,0.0514208864567655,0.719140674283919,0.0,1.067853028417158,1.007100731137672,11.622021916707716,0.0178824771622565,0.0514208864567655
mode2,ao2,PI,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.691321682243794,0.0,0.0
