motor,seed,enabled,level,load_torque_scale,sigma_omega_add,sigma_i_abc_add
air56,101,1.0,0.2,1.0030947437229085,0.0,0.0
air56,202,1.0,0.2,0.9987069821481513,0.0,0.0
air56,303,1.0,0.2,0.9954418430218039,0.0,0.0
air56,404,1.0,0.2,0.9983163584089193,0.0,0.0
air56,505,1.0,0.2,1.0037936501678344,0.0,0.0
al31,101,1.0,0.2,0.9960802742112035,0.0,0.0
al31,202,1.0,0.2,1.0053382793493044,0.0,0.0
al31,303,1.0,0.2,0.9974761829728416,0.0,0.0
al31,404,1.0,0.2,0.9942356543570124,0.0,0.0
al31,505,1.0,0.2,0.9974765930386211,0.0,0.0
